Average cover per quadrat,,,,Stream,Quadrat,Species ,Species richness,,,,,,Unique species per stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rodgers Creek,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rodgers Creek,0,n_sword_fern,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rodgers Creek,,,
,,,,Rodgers Creek,0,n_salal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rodgers Creek,2.5,n_salal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abundance ,Relative abundance,Rank,Cummulative abundance
,,,,Rodgers Creek,2.5,"n_red_huckleberry, n_spreading_wood_fern",2,,,,,,Hoy Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoy Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoy Creek,,,,,,,,,,,,,,,,,,0.634860051,63.4860051,1,63.4860051
,,,,Rodgers Creek,2.5,"n_salal, n_red_huckleberry",2,,,,,,Species,Quadrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row Sum,,,,Species,Quadrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average percent cover,Relative abundace/ Proportion,,,,,,,,,,,,,,,,,,,,,,,,0.220101781,22.0101781,2,85.4961832
,,,,Rodgers Creek,2.5,"n_salal, n_red_huckleberry",2,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,Rank,,,,,p,p^2,,,,,,,,,,,,,,,,,0.080152672,8.0152672,3,93.5114504
,,,,Rodgers Creek,2.5,"n_sword_fern, v_trailing_blackberry",2,,,,,,n_osoberry,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,n_osoberry,0,0,0,0,0,0,0.02,0.01,0.03,0.04,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.6,1,,,,,0.6,0.36,,,,,,,,,,,,,,,,,0.047073791,4.7073791,4,98.2188295
,,,,Rodgers Creek,2.5,"n_salal, v_trailing_blackberry",2,,,,,,v_cherry_laurel,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,,,,v_cherry_laurel,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.000666667,0.1,3,,,,,0.1,0.01,,Simpsons diversity,0.595,,,,,,,,,,,,,,0.011450382,1.1450382,5,99.3638677
,,,,Rodgers Creek,2.5,"v_english_holly, n_sword_fern, n_salal, v_trailing_blackberry",4,,,,,,v_english_holly,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,,,,v_english_holly,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.001,0.15,2,,,,,0.15,0.0225,,,,,,,,,,,,,,,,,0.002544529,0.2544529,6,99.6183206
,,,,Rodgers Creek,2.5,"n_salal, v_trailing_blackberry",2,,,,,,u_groundcover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,u_groundcover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.000333333,0.05,5,,,,,0.05,0.0025,,,,,,,,,,,,,,,,,0.002544529,0.2544529,7,99.8727735
,,,,Rodgers Creek,2.5,"v_english_ivy, n_salal, v_trailing_blackberry",3,,,,,,i_stinging_nettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,i_stinging_nettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.000666667,0.1,4,,,,,0.1,0.01,,,,,,,,,,,,,,,,,0.001272265,0.1272265,8,100
,,,,Rodgers Creek,2.5,"v_spurge_laurel, n_sword_fern, v_english_ivy, n_salal",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rodgers Creek,5,"n_salal, n_red_huckleberry, v_trailing_blackberry",3,,,,,,,s,5,,S,6.933333333,,,,S,5,,Schao,5.5,,5.5+-,1.414508159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total percent cover,0.006666667,,,,,,,Sum,0.405,,,,,,,,,,,,,,,,,,,,
,,,,Rodgers Creek,5,"n_salal, n_red_huckleberry",2,,,,,,,n,30,,,,,,,f1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoy Creek,,,
,,,,Rodgers Creek,5,"n_sword_fern, n_salal",2,,,,,,,k,2,,,,,,,f2,1,,Var,0.520833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abundance ,relative abundance,Rank,
,,,,Rodgers Creek,5,"v_english_ivy, n_salal",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,60,1,60
,,,,Rodgers Creek,5,"n_sword_fern, n_salal, v_trailing_blackberry",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,15,2,75
,,,,Rodgers Creek,5,"n_salal, n_red_huckleberry, v_trailing_blackberry",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,10,3,85
,,,,Rodgers Creek,5,"n_salal, n_red_huckleberry, v_trailing_blackberry",3,,,,,,Stoney Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stoney Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stoney Creek,,,,,,,,,,,,,,,,,,0.1,10,4,95
,,,,Rodgers Creek,5,"n_sword_fern, n_salal, n_red_huckleberry",3,,,,,,Species,Quadrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row Sum,,,,Species,Quadrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average percent cover,Relative abundace/ Proportion,,,,,,,,,,,,,,,,,,,,,,,,0.05,5,5,100
,,,,Rodgers Creek,5,n_red_huckleberry,1,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,Rank,,,,,p,p^2,,,,,,,,,,,,,,,,,,,,
,,,,Rodgers Creek,5,v_trailing_blackberry,1,,,,,,n_sword_fern,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,15,,,,n_sword_fern,0.5,0.2,0,0,0,0.03,0,0.3,1,1,1,0.01,0,1,0.01,0,1,0,0.01,0,0,0,0,0,0,0,1,0,1,0.02,0.269333333,0.792934249,1,,,,,0.792934249,0.628744724,,,,,,,,,,,,,,,,,Stoney Creek,,,
,,,,Hoy Creek,0,0,0,,,,,,v_cherry_laurel,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,6,,,,v_cherry_laurel,0,0,0.3,1,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0.045,0.132482826,2,,,,,0.132482826,0.017551699,,Simpsons diversity,0.352711629,,,,,,,,,,,,,,,,,
,,,,Hoy Creek,0,0,0,,,,,,n_bladder_fern,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,,,,n_bladder_fern,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.03,0,0,0,0,0,0,0,0,0,0.007,0.02060844,3,,,,,0.02060844,0.000424708,,,,,,,,,,,,,,,,,Abundance ,Relative abundance,Rank,
,,,,Hoy Creek,0,0,0,,,,,,n_osoberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,,,,n_osoberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0.07,0,0,0,0,0,0.003333333,0.009813543,5,,,,,0.009813543,9.63E-05,,,,,,,,,,,,,,,,,0.792934249,79.2934249,1,79.2934249
,,,,Hoy Creek,0,0,0,,,,,,i_creeping_buttercup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,4,,,,i_creeping_buttercup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.05,0.09,0,0,0.01,0,0,0,0,0.006,0.017664377,4,,,,,0.017664377,0.00031203,,,,,,,,,,,,,,,,,0.132482826,13.2482826,2,92.5417075
,,,,Hoy Creek,0,0,0,,,,,,n_catch_weed_bedstraw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,n_catch_weed_bedstraw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.000333333,0.000981354,12,,,,,0.000981354,9.63E-07,,,,,,,,,,,,,,,,,0.02060844,2.060844,3,94.6025515
,,,,Hoy Creek,0,0,0,,,,,,i_dandelion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,,,,i_dandelion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.01,0,0.01,0.002,0.005888126,7,,,,,0.005888126,3.47E-05,,,,,,,,,,,,,,,,,0.017664377,1.7664377,4,96.3689892
,,,,Hoy Creek,0,n_osoberry,1,,,,,,i_wall_lettuce,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,,,,i_wall_lettuce,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.001333333,0.003925417,8,,,,,0.003925417,1.54E-05,,,,,,,,,,,,,,,,,0.009813543,0.9813543,5,97.3503435
,,,,Hoy Creek,0,"v_cherry_laurel, n_osoberry",2,,,,,,n_herb_robert,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,n_herb_robert,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000666667,0.001962709,9,,,,,0.001962709,3.85E-06,,,,,,,,,,,,,,,,,0.009813543,0.9813543,6,98.3316978
,,,,Hoy Creek,0,"n_osoberry, n_salmonberry",2,,,,,,u_watercress,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,u_watercress,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000666667,0.001962709,10,,,,,0.001962709,3.85E-06,,,,,,,,,,,,,,,,,0.005888126,0.5888126,7,98.9205104
,,,,Hoy Creek,0,n_osoberry,1,,,,,,i_nipple_wort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,,,,i_nipple_wort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.09,0,0,0,0,0,0,0,0,0,0,0.003333333,0.009813543,6,,,,,0.009813543,9.63E-05,,,,,,,,,,,,,,,,,0.003925417,0.3925417,8,99.3130521
,,,,Hoy Creek,2.5,0,0,,,,,,n_bladder_wort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,n_bladder_wort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.000666667,0.001962709,11,,,,,0.001962709,3.85E-06,,,,,,,,,,,,,,,,,0.001962709,0.1962709,9,99.509323
,,,,Hoy Creek,2.5,v_english_holly,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001962709,0.1962709,10,99.7055939
,,,,Hoy Creek,2.5,v_english_holly,1,,,,,,,s,12,,S,14.9,,,,S,12,,Schao,12.75,,12.75+_,1.745356339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total percent cover,0.339666667,,,,,,,Sum,0.647288371,,,,,,,,,,,,,,,,,0.001962709,0.1962709,11,99.9018648
,,,,Hoy Creek,2.5,0,0,,,,,,,n,30,,,,,,,f1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000981354,0.0981354,12,100.0000002
,,,,Hoy Creek,2.5,n_osoberry,1,,,,,,,k,3,,,,,,,f2,3,,Var,0.79296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hoy Creek,2.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eagle Creek,,,
,,,,Hoy Creek,2.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hoy Creek,2.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abundance,Relative Abundance,Rank,
,,,,Hoy Creek,2.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243243243,24.3243243,1,24.3243243
,,,,Hoy Creek,2.5,v_cherry_laurel,1,,,,,,Eagle Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eagle Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eagle Creek,,,,,,,,,,,,,,,,,,0.22972973,22.972973,2,47.2972973
,,,,Hoy Creek,5,v_english_holly,1,,,,,,Species,Quadrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row Sum,,,,Species,Quadrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average percent cover,Relative abundace/ Proportion,,,,,,,,,,,,,,,,,,,,,,,,0.148648649,14.8648649,3,62.1621622
,,,,Hoy Creek,5,0,0,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,Rank,,,,,p,p^2,,,,,,,,,,,,,,,,,0.103603604,10.3603604,4,72.5225226
,,,,Hoy Creek,5,0,0,,,,,,v_spurge_laurel,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,v_spurge_laurel,0.03,0,0.12,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005333333,0.072072072,5,,,,,0.072072072,0.005194384,,,,,,,,,,,,,,,,,0.072072072,7.2072072,5,79.7297298
,,,,Hoy Creek,5,u_groundcover,1,,,,,,v_english_holly,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,v_english_holly,0,0,0.11,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.054054054,6,,,,,0.054054054,0.002921841,,Simpsons diversity,0.843032221,,,,,,,,,,,,,,0.054054054,5.4054054,6,85.1351352
,,,,Hoy Creek,5,0,0,,,,,,n_herb_robert,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,18,,,,n_herb_robert,0,0,0.07,0,0.01,0,0.04,0,0.02,0,0.01,0.01,0,0.01,0,0.01,0.03,0,0,0.01,0.03,0.05,0.03,0,0,0.09,0.08,0.02,0.01,0.01,0.018,0.243243243,1,,,,,0.243243243,0.059167275,,,,,,,,,,,,,,,,,0.045045045,4.5045045,7,89.6396397
,,,,Hoy Creek,5,0,0,,,,,,u_woody,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,u_woody,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000333333,0.004504505,13,,,,,0.004504505,2.03E-05,,,,,,,,,,,,,,,,,0.027027027,2.7027027,8,92.3423424
,,,,Hoy Creek,5,0,0,,,,,,u_sedge,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,u_sedge,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000333333,0.004504505,14,,,,,0.004504505,2.03E-05,,,,,,,,,,,,,,,,,0.022522523,2.2522523,9,94.5945947
,,,,Hoy Creek,5,i_stinging_nettle,1,,,,,,u_woodrush,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,u_woodrush,0,0,0,0,0,0,0,0.02,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001666667,0.022522523,9,,,,,0.022522523,0.000507264,,,,,,,,,,,,,,,,,0.022522523,2.2522523,10,96.846847
,,,,Hoy Creek,5,0,0,,,,,,n_twinflower,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,n_twinflower,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.013513514,11,,,,,0.013513514,0.000182615,,,,,,,,,,,,,,,,,0.013513514,1.3513514,11,98.1981984
,,,,Hoy Creek,5,0,0,,,,,,i_foxglove,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,,,,i_foxglove,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.002,0.027027027,8,,,,,0.027027027,0.00073046,,,,,,,,,,,,,,,,,0.009009009,0.9009009,12,99.0990993
,,,,Stoney Creek,0,n_sword_fern,1,,,,,,u_watercress,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,6,,,,u_watercress,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0.03,0,0,0,0.03,0.08,0,0.01,0,0.007666667,0.103603604,4,,,,,0.103603604,0.010733707,,,,,,,,,,,,,,,,,0.004504505,0.4504505,13,99.5495498
,,,,Stoney Creek,0,n_sword_fern,1,,,,,,v_periwinkle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,v_periwinkle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.001666667,0.022522523,10,,,,,0.022522523,0.000507264,,,,,,,,,,,,,,,,,0.004504505,0.4504505,14,100.0000003
,,,,Stoney Creek,0,v_cherry_laurel,1,,,,,,i_creeping_buttercup,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,,,,i_creeping_buttercup,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.38,0.02,0,0,0,0,0,0,0,0,0,0,0.017,0.22972973,2,,,,,0.22972973,0.052775749,,,,,,,,,,,,,,,,,,,,
,,,,Stoney Creek,0,v_cherry_laurel,1,,,,,,n_osoberry,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,,,,n_osoberry,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.000666667,0.009009009,12,,,,,0.009009009,8.12E-05,,,,,,,,,,,,,,,,,,,,
,,,,Stoney Creek,0,0,0,,,,,,i_wall_lettuce,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,9,,,,i_wall_lettuce,0,0,0.01,0,0,0.02,0.04,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.07,0.09,0.04,0,0.011,0.148648649,3,,,,,0.148648649,0.022096421,,,,,,,,,,,,,,,,,,,,
,,,,Stoney Creek,0,"v_cherry_laurel, n_sword_fern, i_wall_lettuce, n_herb_robert",4,,,,,,n_sword_fern,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,4,,,,n_sword_fern,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0.003333333,0.045045045,7,,,,,0.045045045,0.002029056,,,,,,,,,,,,,,,,,,,,
,,,,Stoney Creek,0,"n_bladder_fern, u_watercress, n_herb_robert",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stoney Creek,0,n_sword_fern,1,,,,,,,s,10,,S,12.9,,,,S,14,,Schao,14.75,,10.75+_,1.745356339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total percent cover,0.074,,,,,,,Sum,0.156967779,,,,,,,,,,,,,,,,,,,,
,,,,Stoney Creek,0,n_sword_fern,1,,,,,,,n,30,,,,,,,f1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stoney Creek,0,n_sword_fern,1,,,,,,,k,3,,,,,,,f2,3,,Var,0.79296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stoney Creek,2.5,n_sword_fern,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stoney Creek,2.5,n_sword_fern,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stoney Creek,2.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stoney Creek,2.5,n_sword_fern,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stoney Creek,2.5,n_sword_fern,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stoney Creek,2.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stoney Creek,2.5,n_sword_fern,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stoney Creek,2.5,"v_cherry_laurel, i_nipple_wort, n_bladder_wort",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stoney Creek,2.5,"n_osoberry, n_bladder_fern, n_sword_fern",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stoney Creek,2.5,"n_osoberry, i_nipple_wort",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
